model,mean_hv,std_hv,population_size,generations,seeding_prop,ones_prop,crossover_prob,mutation_prob,ls_start,ls_end
LinReg,56.115664181979426,0.15416670463713805,100,20,0.1,0.02,1.0,0.01,0.3,0.7
LinReg,56.150418784251585,0.11977502320150721,100,20,0.2,0.0,0.7,0.05,0.15,0.4
LinReg,55.83719843272475,0.21056844584619458,100,20,0.1,0.04,0.4,0.07,0.05,0.3
LinReg,55.80879854306263,0.20355592359117178,100,20,0.15,0.03,0.4,0.01,0.15,0.6
LinReg,56.17588895665218,0.03874278785083703,100,20,0.4,0.02,0.9,0.05,0.25,0.6
LinReg,55.94654542551383,0.107324948882742,100,20,0.35,0.03,0.6,0.09,0.2,0.6
LinReg,56.20864160359605,0.19413185013709694,100,20,0.2,0.04,0.9,0.01,0.1,0.3
LinReg,55.98623022711048,0.1778052786905641,100,20,0.1,0.01,0.7,0.05,0.2,0.7
LinReg,56.01690863225618,0.16875250889687304,100,20,0.2,0.05,0.5,0.03,0.15,0.6
LinReg,56.16172899983733,0.18362003399982627,100,20,0.25,0.04,1.0,0.01,0.1,0.4
LinReg,55.81973808571722,0.07280044419708685,100,20,0.3,0.03,0.5,0.07,0.15,0.5
LinReg,55.94519044809689,0.20364320489971532,100,20,0.4,0.05,0.5,0.07,0.25,0.3
LinReg,56.305439355561376,0.21609156337704483,100,20,0.3,0.0,1.0,0.05,0.25,0.3
LinReg,56.051342046928106,0.02795720072988582,100,20,0.2,0.02,0.8,0.07,0.1,0.7
LinReg,55.75745848527102,0.16171165915498723,100,20,0.3,0.03,0.5,0.03,0.2,0.8
LinReg,55.98934763801996,0.05625276755917834,100,20,0.25,0.05,0.5,0.01,0.1,0.6
LinReg,55.81505559780645,0.03149404870700902,100,20,0.1,0.05,0.4,0.09,0.3,0.7
LinReg,55.90222601705216,0.14110115064191217,100,20,0.2,0.04,0.5,0.07,0.25,0.6
LinReg,55.95066856985236,0.08804105657758107,100,20,0.4,0.03,0.7,0.03,0.2,0.5
LinReg,56.0154963213206,0.07463289399669215,100,20,0.35,0.04,0.8,0.09,0.15,0.5
LinReg,56.09650911183426,0.07337910453092783,100,20,0.35,0.02,1.0,0.03,0.15,0.7
LinReg,56.121265207797514,0.11711519962493169,100,20,0.2,0.04,0.8,0.07,0.1,0.8
LinReg,55.97937413767087,0.18996260021180075,100,20,0.1,0.03,0.7,0.1,0.15,0.8
LinReg,56.05910688494417,0.19394144711046193,100,20,0.15,0.0,0.8,0.01,0.2,0.8
LinReg,56.0822985509501,0.14163518740501016,100,20,0.35,0.0,0.8,0.01,0.2,0.6
LinReg,55.95666840972275,0.20016303557640508,100,20,0.15,0.01,0.5,0.07,0.15,0.4
LinReg,56.06033001609819,0.07976760241538765,100,20,0.15,0.04,0.8,0.05,0.25,0.6
LinReg,55.97070020773689,0.07873641488562978,100,20,0.3,0.02,0.6,0.01,0.3,0.4
LinReg,56.0154963213206,0.07463289399669215,100,20,0.35,0.04,0.8,0.01,0.15,0.5
LinReg,55.9003344049486,0.032403431948058246,100,20,0.25,0.02,0.6,0.05,0.3,0.8
LinReg,56.237695694942396,0.08894500044252147,100,20,0.4,0.0,0.9,0.09,0.25,0.5
LinReg,56.14256256909273,0.131006642653056,100,20,0.4,0.02,1.0,0.03,0.05,0.6
LinReg,56.17956353111482,0.10185143805125678,100,20,0.3,0.01,1.0,0.07,0.15,0.8
LinReg,55.87278612532299,0.0859110671335435,100,20,0.1,0.0,0.5,0.03,0.2,0.5
LinReg,55.99985227959437,0.17132678818108216,100,20,0.35,0.01,0.9,0.01,0.25,0.7
LinReg,55.8677377901725,0.13587266270249973,100,20,0.25,0.03,0.4,0.09,0.15,0.7
LinReg,56.07916923778159,0.1853325334173971,100,20,0.4,0.04,0.7,0.01,0.05,0.8
LinReg,55.98416636896942,0.12803955349321536,100,20,0.35,0.03,0.7,0.09,0.15,0.5
LinReg,55.99454690170163,0.16380636251181602,100,20,0.3,0.04,0.8,0.01,0.3,0.7
LinReg,56.30089270582023,0.13744581864428926,100,20,0.1,0.0,1.0,0.03,0.1,0.4
LinReg,55.837622470993566,0.19948810043087709,100,20,0.15,0.04,0.4,0.03,0.15,0.3
LinReg,55.83574831941091,0.1136238534662442,100,20,0.3,0.05,0.4,0.1,0.05,0.6
LinReg,55.88411508531442,0.1296745781849906,100,20,0.15,0.05,0.5,0.01,0.3,0.5
LinReg,55.976551534119366,0.13824612118495805,100,20,0.3,0.05,0.6,0.03,0.05,0.4
LinReg,55.84653114003718,0.09427833330555982,100,20,0.3,0.0,0.5,0.03,0.15,0.6
LinReg,55.757275231181744,0.04532207550812206,100,20,0.15,0.03,0.4,0.01,0.05,0.8
LinReg,56.08859018946997,0.14786500238354144,100,20,0.3,0.05,0.7,0.01,0.3,0.5
LinReg,56.00183067184597,0.09364788150821751,100,20,0.1,0.05,1.0,0.03,0.25,0.8
LinReg,56.20545566899665,0.09919034272409472,100,20,0.2,0.0,0.8,0.01,0.15,0.3
LinReg,55.74295295510465,0.2593469799850651,100,20,0.4,0.0,0.4,0.05,0.2,0.7
LinReg,56.18683691827083,0.07321632317294689,100,20,0.2,0.01,1.0,0.1,0.15,0.4
LinReg,56.10524787288009,0.12100281241908312,100,20,0.35,0.04,0.7,0.03,0.15,0.6
LinReg,56.29003739400042,0.160416203463849,100,20,0.35,0.01,1.0,0.05,0.15,0.4
LinReg,56.08548074724511,0.11137080518395273,100,20,0.35,0.0,0.7,0.1,0.25,0.5
LinReg,55.8239342952422,0.10789008353362173,100,20,0.4,0.05,0.4,0.03,0.15,0.5
LinReg,56.123054130179945,0.0863314001256957,100,20,0.4,0.04,1.0,0.07,0.15,0.8
LinReg,56.1218593936609,0.09889037517402476,100,20,0.25,0.03,0.9,0.03,0.05,0.5
LinReg,55.978271491436,0.08914157319484439,100,20,0.35,0.03,0.9,0.07,0.25,0.8
LinReg,56.01484647233981,0.11325450079858745,100,20,0.15,0.02,0.7,0.09,0.05,0.8
LinReg,56.17086272182892,0.09522899917844399,100,20,0.35,0.01,1.0,0.03,0.25,0.7
LinReg,55.75634109955803,0.18714058225403518,100,20,0.15,0.01,0.5,0.05,0.2,0.8
LinReg,55.80503956513602,0.10507612399702353,100,20,0.25,0.0,0.4,0.03,0.1,0.4
LinReg,55.97076686664791,0.12535792293821732,100,20,0.25,0.03,0.6,0.05,0.3,0.5
LinReg,55.77330017488239,0.07510679204085527,100,20,0.25,0.01,0.4,0.01,0.3,0.6
