dataset,model,metric,test,algorithm,statistic,pvalue,corrected_p,significant
bike-sharing,LinReg,hypervolume,Friedman,,41.580246913580325,2.0380920525402695e-08,,True
bike-sharing,LinReg,hypervolume,Wilcoxon,nsga2,0.0,0.06559969214707187,0.1967990764412156,False
bike-sharing,LinReg,hypervolume,Wilcoxon,replica,3.0,0.0012008058269596244,0.0048032233078384974,True
bike-sharing,LinReg,hypervolume,Wilcoxon,smsemoa,0.0,0.06559969214707187,0.1967990764412156,False
bike-sharing,LinReg,hypervolume,Wilcoxon,spea2,0.0,0.06559969214707187,0.1967990764412156,False
isolet,DT,hypervolume,Friedman,,75.63999999999999,1.4589426669653262e-15,,True
isolet,DT,hypervolume,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,DT,hypervolume,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,DT,hypervolume,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,DT,hypervolume,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,hypervolume,Friedman,,70.32,1.9428283766491608e-14,,True
isolet,LogReg,hypervolume,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,hypervolume,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,hypervolume,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,hypervolume,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,hypervolume,Friedman,,67.32,8.345959972969937e-14,,True
isolet,SVC,hypervolume,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,hypervolume,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,hypervolume,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,hypervolume,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,DT,hypervolume,Friedman,,67.81881533101048,6.550490877121411e-14,,True
lymphography,DT,hypervolume,Wilcoxon,nsga2,0.0,5.029855311783433e-05,0.00020119421247133732,True
lymphography,DT,hypervolume,Wilcoxon,replica,44.0,0.12329714551278378,0.12329714551278378,False
lymphography,DT,hypervolume,Wilcoxon,smsemoa,0.0,5.029855311783433e-05,0.00020119421247133732,True
lymphography,DT,hypervolume,Wilcoxon,spea2,0.0,5.029855311783433e-05,0.00020119421247133732,True
lymphography,LogReg,hypervolume,Friedman,,19.367003367003363,0.0006656137366188871,,True
lymphography,LogReg,hypervolume,Wilcoxon,nsga2,39.5,0.13903422233132276,0.41710266699396825,False
lymphography,LogReg,hypervolume,Wilcoxon,replica,22.0,0.0056502504870505,0.022601001948202,True
lymphography,LogReg,hypervolume,Wilcoxon,smsemoa,20.0,0.24634097056429305,0.4926819411285861,False
lymphography,LogReg,hypervolume,Wilcoxon,spea2,27.0,0.9593007893622097,0.9593007893622097,False
