dataset,model,metric,test,algorithm,statistic,pvalue,corrected_p,significant
bike-sharing,LinReg,pf_size,Friedman,,72.84210526315795,5.697099661171737e-15,,True
bike-sharing,LinReg,pf_size,Wilcoxon,nsga2,0.0,7.74421643104407e-06,3.097686572417628e-05,True
bike-sharing,LinReg,pf_size,Wilcoxon,replica,0.0,0.08326451666355039,0.08326451666355039,False
bike-sharing,LinReg,pf_size,Wilcoxon,smsemoa,0.0,7.74421643104407e-06,3.097686572417628e-05,True
bike-sharing,LinReg,pf_size,Wilcoxon,spea2,0.0,7.74421643104407e-06,3.097686572417628e-05,True
isolet,DT,pf_size,Friedman,,56.08205128205129,1.927299671850311e-11,,True
isolet,DT,pf_size,Wilcoxon,nsga2,0.0,8.426441283705347e-05,0.0003370576513482139,True
isolet,DT,pf_size,Wilcoxon,replica,0.0,8.695454033787863e-05,0.0003370576513482139,True
isolet,DT,pf_size,Wilcoxon,smsemoa,0.0,8.794879347050152e-05,0.0003370576513482139,True
isolet,DT,pf_size,Wilcoxon,spea2,0.0,8.670731863656778e-05,0.0003370576513482139,True
isolet,LogReg,pf_size,Friedman,,71.18387909319902,1.2764461108860982e-14,,True
isolet,LogReg,pf_size,Wilcoxon,nsga2,0.0,8.732637791829415e-05,0.0003404535552306698,True
isolet,LogReg,pf_size,Wilcoxon,replica,0.0,8.720229793087962e-05,0.0003404535552306698,True
isolet,LogReg,pf_size,Wilcoxon,smsemoa,0.0,8.511338880766745e-05,0.0003404535552306698,True
isolet,LogReg,pf_size,Wilcoxon,spea2,0.0,8.695454033787863e-05,0.0003404535552306698,True
isolet,SVC,pf_size,Friedman,,55.80612244897959,2.201903718280535e-11,,True
isolet,SVC,pf_size,Wilcoxon,nsga2,0.0,8.707835210161572e-05,0.0003463356340552921,True
isolet,SVC,pf_size,Wilcoxon,replica,0.0,8.670731863656778e-05,0.0003463356340552921,True
isolet,SVC,pf_size,Wilcoxon,smsemoa,0.0,8.757494073814438e-05,0.0003463356340552921,True
isolet,SVC,pf_size,Wilcoxon,spea2,0.0,8.658390851382303e-05,0.0003463356340552921,True
lymphography,DT,pf_size,Friedman,,70.67540983606555,1.634508731309792e-14,,True
