dataset,model,metric,test,algorithm,statistic,pvalue,corrected_p,significant
bike-sharing,LinReg,spacing,Friedman,,,,,False
isolet,DT,spacing,Friedman,,2.759999999999991,0.5987569562822221,,False
isolet,LogReg,spacing,Friedman,,5.0,0.2872974951836458,,False
isolet,SVC,spacing,Friedman,,11.840000000000032,0.01858158522452018,,True
isolet,SVC,spacing,Wilcoxon,nsga2,37.0,0.009435653686523438,0.03774261474609375,True
isolet,SVC,spacing,Wilcoxon,replica,43.0,0.01923370361328125,0.05770111083984375,False
isolet,SVC,spacing,Wilcoxon,smsemoa,90.0,0.5958194732666016,0.5958194732666016,False
isolet,SVC,spacing,Wilcoxon,spea2,75.0,0.2773551940917969,0.5547103881835938,False
lymphography,DT,spacing,Friedman,,,,,False
lymphography,LogReg,spacing,Friedman,,,,,False
lymphography,SVC,spacing,Friedman,,,,,False
spambase,DT,spacing,Friedman,,13.257142857142867,0.010085355763881367,,True
spambase,DT,spacing,Wilcoxon,nsga2,35.0,0.2957763671875,0.591552734375,False
spambase,DT,spacing,Wilcoxon,replica,12.0,0.008544921875,0.0341796875,True
spambase,DT,spacing,Wilcoxon,smsemoa,27.0,0.118896484375,0.356689453125,False
spambase,DT,spacing,Wilcoxon,spea2,42.0,0.5416259765625,0.591552734375,False
spambase,LogReg,spacing,Friedman,,2.10526315789474,0.7164055140169194,,False
spambase,SVC,spacing,Friedman,,4.1200000000000045,0.3900091478781507,,False
superconductivity,LinReg,spacing,Friedman,,46.960000000000036,1.554450791641666e-09,,True
superconductivity,LinReg,spacing,Wilcoxon,nsga2,33.0,0.005580902099609375,0.005580902099609375,True
superconductivity,LinReg,spacing,Wilcoxon,replica,3.0,9.5367431640625e-06,3.814697265625e-05,True
superconductivity,LinReg,spacing,Wilcoxon,smsemoa,23.0,0.001209259033203125,0.003627777099609375,True
superconductivity,LinReg,spacing,Wilcoxon,spea2,23.0,0.001209259033203125,0.003627777099609375,True
wave-energy,LinReg,spacing,Friedman,,29.80000000000001,5.375382139408499e-06,,True
wave-energy,LinReg,spacing,Wilcoxon,nsga2,3.0,9.5367431640625e-06,3.814697265625e-05,True
wave-energy,LinReg,spacing,Wilcoxon,replica,89.0,0.5705966949462891,0.5705966949462891,False
wave-energy,LinReg,spacing,Wilcoxon,smsemoa,13.0,0.0001678466796875,0.0005035400390625,True
wave-energy,LinReg,spacing,Wilcoxon,spea2,16.0,0.0003223419189453125,0.000644683837890625,True
