dataset,model,metric,test,algorithm,statistic,pvalue,corrected_p,significant
bike-sharing,LinReg,spread,Friedman,,,,,False
isolet,DT,spread,Friedman,,45.24000000000001,3.544367230488528e-09,,True
isolet,DT,spread,Wilcoxon,nsga2,27.0,0.0023250579833984375,0.0069751739501953125,True
isolet,DT,spread,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,DT,spread,Wilcoxon,smsemoa,30.0,0.00365447998046875,0.0073089599609375,True
isolet,DT,spread,Wilcoxon,spea2,43.0,0.01923370361328125,0.01923370361328125,True
isolet,LogReg,spread,Friedman,,59.72000000000003,3.321717481469903e-12,,True
isolet,LogReg,spread,Wilcoxon,nsga2,5.0,1.9073486328125e-05,3.814697265625e-05,True
isolet,LogReg,spread,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,spread,Wilcoxon,smsemoa,16.0,0.0003223419189453125,0.0003223419189453125,True
isolet,LogReg,spread,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,spread,Friedman,,64.48000000000002,3.311363966264661e-13,,True
isolet,SVC,spread,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,spread,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,spread,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,spread,Wilcoxon,spea2,5.0,1.9073486328125e-05,1.9073486328125e-05,True
lymphography,DT,spread,Friedman,,,,,False
lymphography,LogReg,spread,Friedman,,,,,False
lymphography,SVC,spread,Friedman,,,,,False
spambase,DT,spread,Friedman,,20.97142857142859,0.0003208264425123486,,True
spambase,DT,spread,Wilcoxon,nsga2,10.0,0.0052490234375,0.010498046875,True
spambase,DT,spread,Wilcoxon,replica,4.0,0.0008544921875,0.0025634765625,True
spambase,DT,spread,Wilcoxon,smsemoa,1.0,0.000244140625,0.0009765625,True
spambase,DT,spread,Wilcoxon,spea2,12.0,0.008544921875,0.010498046875,True
spambase,LogReg,spread,Friedman,,42.14736842105265,1.5548555893406522e-08,,True
spambase,LogReg,spread,Wilcoxon,nsga2,17.0,0.000789642333984375,0.000789642333984375,True
spambase,LogReg,spread,Wilcoxon,replica,3.0,1.9073486328125e-05,5.7220458984375e-05,True
spambase,LogReg,spread,Wilcoxon,smsemoa,0.0,3.814697265625e-06,1.52587890625e-05,True
spambase,LogReg,spread,Wilcoxon,spea2,13.0,0.000335693359375,0.00067138671875,True
spambase,SVC,spread,Friedman,,51.639999999999986,1.6404962832463617e-10,,True
spambase,SVC,spread,Wilcoxon,nsga2,13.0,0.0001678466796875,0.0001678466796875,True
spambase,SVC,spread,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,SVC,spread,Wilcoxon,smsemoa,2.0,5.7220458984375e-06,1.71661376953125e-05,True
spambase,SVC,spread,Wilcoxon,spea2,5.0,1.9073486328125e-05,3.814697265625e-05,True
superconductivity,LinReg,spread,Friedman,,67.0,9.748862640548868e-14,,True
superconductivity,LinReg,spread,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
superconductivity,LinReg,spread,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
superconductivity,LinReg,spread,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
superconductivity,LinReg,spread,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
wave-energy,LinReg,spread,Friedman,,66.28000000000003,1.3827522903837773e-13,,True
wave-energy,LinReg,spread,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
wave-energy,LinReg,spread,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
wave-energy,LinReg,spread,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
wave-energy,LinReg,spread,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
