dataset,model,metric,test,algorithm,statistic,pvalue,corrected_p,significant
bike-sharing,LinReg,time,Friedman,,42.19999999999999,1.5162775523322617e-08,,True
bike-sharing,LinReg,time,Wilcoxon,nsga2,57.0,0.0758514404296875,0.208740234375,False
bike-sharing,LinReg,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
bike-sharing,LinReg,time,Wilcoxon,smsemoa,67.0,0.16495704650878906,0.208740234375,False
bike-sharing,LinReg,time,Wilcoxon,spea2,56.0,0.069580078125,0.208740234375,False
isolet,DT,time,Friedman,,68.36000000000001,5.0362866826809395e-14,,True
isolet,DT,time,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,DT,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,DT,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,DT,time,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,time,Friedman,,66.68,1.1387339378166557e-13,,True
isolet,LogReg,time,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,LogReg,time,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,time,Friedman,,67.60000000000002,7.284936249607373e-14,,True
isolet,SVC,time,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,time,Wilcoxon,replica,2.0,5.7220458984375e-06,7.62939453125e-06,True
isolet,SVC,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
isolet,SVC,time,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,DT,time,Friedman,,68.44,4.8443128322005623e-14,,True
lymphography,DT,time,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,DT,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,DT,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,DT,time,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,LogReg,time,Friedman,,65.56,1.9610403442406455e-13,,True
lymphography,LogReg,time,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,LogReg,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,LogReg,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,LogReg,time,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,SVC,time,Friedman,,65.07999999999998,2.475258822542311e-13,,True
lymphography,SVC,time,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,SVC,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,SVC,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
lymphography,SVC,time,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,DT,time,Friedman,,68.0,5.998679510397059e-14,,True
spambase,DT,time,Wilcoxon,nsga2,1.0,3.814697265625e-06,7.62939453125e-06,True
spambase,DT,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,DT,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,DT,time,Wilcoxon,spea2,2.0,5.7220458984375e-06,7.62939453125e-06,True
spambase,LogReg,time,Friedman,,66.92000000000002,1.0134956957886097e-13,,True
spambase,LogReg,time,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,LogReg,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,LogReg,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,LogReg,time,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,SVC,time,Friedman,,57.639999999999986,9.081146264826158e-12,,True
spambase,SVC,time,Wilcoxon,nsga2,35.0,0.0072956085205078125,0.0072956085205078125,True
spambase,SVC,time,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,SVC,time,Wilcoxon,smsemoa,14.0,0.000209808349609375,0.00041961669921875,True
spambase,SVC,time,Wilcoxon,spea2,1.0,3.814697265625e-06,1.1444091796875e-05,True
superconductivity,LinReg,time,Friedman,,64.24000000000001,3.7200739177094596e-13,,True
superconductivity,LinReg,time,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
superconductivity,LinReg,time,Wilcoxon,replica,1.0,3.814697265625e-06,7.62939453125e-06,True
superconductivity,LinReg,time,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
